step	time	achiral	left	right
   0     0.001250000       399         1         0
   1     0.072227343       307        31        62
   2     0.111538478       217        63       120
   3     0.163526839       143        93       164
   4     0.210969082        75       145       180
   5     0.277215168        25       185       190
   6     0.376723995        13       190       197
   7     0.499379613        13       189       198
   8     0.640513133        11       192       197
   9     0.770402358         9       186       205
  10     0.890465688         5       192       203
  11     1.015163376         5       190       205
  12     1.147712870         3       189       208
  13     1.275848461         3       190       207
  14     1.376989909         3       191       206
  15     1.512934122         3       191       206
  16     1.641636888         1       195       204
  17     1.775900722         3       193       204
  18     1.913718633         3       192       205
  19     2.036710261         1       194       205
  20     2.159336991         3       194       203
  21     2.282046169         3       195       202
  22     2.409116963         1       194       205
  23     2.524827932         1       196       203
  24     2.667647841         1       192       207
  25     2.808069623         1       190       209
  26     2.907132790         1       190       209
  27     3.030939404         3       188       209
  28     3.139498128         1       190       209
  29     3.264644825         3       190       207
  30     3.399241741         3       186       211
  31     3.520665971         1       186       213
  32     3.648458212         1       188       211
  33     3.783703580         1       186       213
  34     3.917803284         3       184       213
  35     4.036656102         1       184       215
  36     4.147275207         1       182       217
  37     4.264121149         5       186       209
  38     4.397577647         3       180       217
  39     4.509882119         1       182       217
  40     4.637188019         1       184       215
  41     4.766135829         3       184       213
  42     4.880730783         3       185       212
  43     5.003036817         1       187       212
  44     5.141172517         3       185       212
  45     5.278256603         5       183       212
  46     5.409447776         3       186       211
  47     5.552498055         3       185       212
  48     5.679357142         7       184       209
  49     5.793939214         1       187       212
  50     5.922229313         1       188       211
  51     6.061051428         1       192       207
  52     6.200521330         1       193       206
  53     6.331544547         7       188       205
  54     6.467688290         1       189       210
  55     6.600180463         1       188       211
  56     6.728428969         1       187       212
  57     6.846785187         1       188       211
  58     6.997028323         3       188       209
  59     7.123713688         1       189       210
  60     7.249909373         3       191       206
  61     7.374371270         1       190       209
  62     7.492268005         1       192       207
  63     7.617194473         3       188       209
  64     7.755236290         1       192       207
  65     7.877354212         3       192       205
  66     8.006003109         3       190       207
  67     8.137984240         1       190       209
  68     8.278248991         3       188       209
  69     8.408952697         3       190       207
  70     8.545143282         5       190       205
  71     8.672786689         3       192       205
  72     8.798869246         3       188       209
  73     8.912956107         5       191       204
  74     9.046333764         3       192       205
  75     9.152853527         3       193       204
  76     9.295228600         1       192       207
  77     9.444497704         1       192       207
  78     9.564128629         1       189       210
  79     9.696467073         1       188       211
  80     9.826539983         3       189       208
  81     9.969038650         1       187       212
  82    10.114210002         1       189       210
