current_energy(eV)    next_energy(eV)
-115205.824647860    -115205.824647860
-115205.824647860    -115206.279704035
-115206.279704035    -115206.186768954
-115206.186768954    -115206.057049508
-115206.057049508    -115205.740444916
-115206.057049508    -115206.067324531
-115206.067324531    -115206.066282335
-115206.066282335    -115206.067354464
-115206.067354464    -115206.266601748
-115206.266601748    -115206.019650166
-115206.019650166    -115206.411358211
-115206.411358211    -115206.412718781
-115206.412718781    -115206.419274006
-115206.419274006    -115206.420354299
-115206.420354299    -115206.419026383
-115206.419026383    -115206.423056390
-115206.423056390    -115206.418267185
-115206.418267185    -115206.424738054
-115206.424738054    -115206.280457791
-115206.280457791    -115206.282357146
-115206.282357146    -115206.281951696
-115206.281951696    -115206.327128056
-115206.327128056    -115206.323272201
-115206.323272201    -115206.214657914
-115206.214657914    -115206.256590675
-115206.256590675    -115206.122805847
-115206.256590675    -115206.266860256
-115206.266860256    -115206.385999911
-115206.385999911    -115206.381150840
-115206.381150840    -115206.426768025
-115206.426768025    -115206.436213100
-115206.436213100    -115206.601729138
-115206.601729138    -115206.711606033
-115206.711606033    -115206.711331198
-115206.711331198    -115206.713464572
-115206.713464572    -115206.706343349
-115206.706343349    -115206.708474002
-115206.708474002    -115206.648755872
-115206.648755872    -115206.639169297
-115206.639169297    -115207.426264369
-115207.426264369    -115207.423935073
-115207.423935073    -115207.426522877
-115207.426522877    -115207.427194999
-115207.427194999    -115207.427475276
-115207.427475276    -115207.424408552
-115207.424408552    -115207.424122832
-115207.424122832    -115207.425744631
-115207.425744631    -115207.428112023
-115207.428112023    -115207.423812622
-115207.423812622    -115207.423211250
-115207.423211250    -115207.422465658
-115207.422465658    -115207.414955313
-115207.414955313    -115207.421037060
-115207.421037060    -115207.425390883
-115207.425390883    -115207.425910621
-115207.425910621    -115207.420841138
-115207.420841138    -115207.428332435
-115207.428332435    -115207.429214084
-115207.429214084    -115207.426400426
-115207.426400426    -115207.426014024
-115207.426014024    -115207.429684841
-115207.429684841    -115207.427793649
-115207.427793649    -115207.430727038
-115207.430727038    -115207.430014099
-115207.430014099    -115207.425499729
-115207.425499729    -115207.430465808
-115207.430465808    -115207.428005898
-115207.428005898    -115207.429867158
-115207.429867158    -115207.430435876
-115207.430435876    -115207.433018237
-115207.433018237    -115207.429616813
